Country Name,Country Code,Series Name,Series Code,Version Name,Version Code,1960 [YR1960],1970 [YR1970]
Mexico,MEX,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3342.48764739394,4726.58546040013
Micronesia,FSM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Moldova,MDA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Monaco,MCO,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,75504.6930239041
Mongolia,MNG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Montenegro,MNE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Morocco,MAR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,839.440113310237
Mozambique,MOZ,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Myanmar,MMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Namibia,NAM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Nauru,NRU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Nepal,NPL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,168.718823359962,180.878406023803
Netherlands,NLD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,14134.4721860875,21061.0252391962
Netherlands Antilles,ANT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
New Caledonia,NCL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
New Zealand,NZL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Nicaragua,NIC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1256.02617735549,1790.36588410751
Niger,NER,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,468.224669372042,465.608428200365
Nigeria,NGA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,559.194583819171,694.499980352987
North America,NAC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,15312.2394096211,20962.3357840628
North Macedonia,MKD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Northern Mariana Islands,MNP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Norway,NOR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,17483.7170407879,24347.8439330946
Oman,OMN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,507.138475651002,6485.56128194093
Other small states,OSS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Pakistan,PAK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,222.439428842564,345.353841092156
Palau,PLW,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Panama,PAN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1836.06094376955,2928.95237927511
Papua New Guinea,PNG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,528.400499002999,828.544943764915
Paraguay,PRY,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,570.760941129208,722.221918840666
Peru,PER,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,1851.77173870198,2337.0205897601
Philippines,PHL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,696.020188274492,825.891032358865
Poland,POL,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Portugal,PRT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3846.7028827825,7486.99543255059
Pre-demographic dividend,PRE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Puerto Rico,PRI,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,4724.78606779861,8597.21469141426
Qatar,QAT,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Reunion,REU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Romania,ROU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Russia,RUS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Rwanda,RWA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,220.987251969111,223.878858707331
Samoa,WSM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
San Marino,SMR,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,19789.7949428636
Sao Tome and Principe,STP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Saudi Arabia,SAU,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,12213.7381252561
Senegal,SEN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,872.052259633967,793.984385825152
Serbia,SRB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Serbia and Montenegro,YUG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Seychelles,SYC,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3321.36415785719,4122.12347121786
Sierra Leone,SLE,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,326.628479434009,429.21618294627
Singapore,SGP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,2529.85706185511,4856.57243853798
Sint Maarten (Dutch part),SXM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Slovak Republic,SVK,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Slovenia,SVN,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Small states,SST,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Solomon Islands,SLB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Somalia,SOM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
South Africa,ZAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,3543.53694814638,4991.17723654303
South Asia,SAS,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,232.778377332076,283.373130199167
South Sudan,SSD,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
Spain,ESP,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,6271.85705712637,11540.7803427695
Sri Lanka,LKA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,416.351423057455
St. Kitts and Nevis,KNA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
St. Lucia,LCA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
St. Martin (French part),MAF,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,2016 Jun,201606,..,..
